Gene name	UniProtKB/Swiss-Prot ID	Gene stable ID
FKBP4	Q02790	ENSG00000004478
HSPB6	O14558	ENSG00000004776
RPAP3	Q9H6T3	ENSG00000005175
DNAJC11	Q9NVH1	ENSG00000007923
PPP5C	P53041	ENSG00000011485
ERP44	Q9BS26	ENSG00000023318
TOMM34	Q15785	ENSG00000025772
SEC63	Q9UGP8	ENSG00000025796
HSPA5	P11021	ENSG00000044574
DNAJC25	Q9H1X3	ENSG00000059769
PDIA5	Q14554	ENSG00000065485
DNAJA2	O60884	ENSG00000069345
BCS1L	Q9Y276	ENSG00000074582
DNAJC10	Q8IXB1	ENSG00000077232
FKBP6	O75344	ENSG00000077800
FKBP7	Q9Y680	ENSG00000079150
HSP90AA1	P07900	ENSG00000080824
IFT25	Q9Y547	ENSG00000081870
DNAJA1	P31689	ENSG00000086061
ERO1B	Q86YB8	ENSG00000086619
EDEM2	Q9BV94	ENSG00000088298
PDRG1	Q9NUG6	ENSG00000088356
FKBP1A	P62942	ENSG00000088832
NUDC	Q9Y266	ENSG00000090273
DNAJB11	Q9UBS4	ENSG00000090520
FKBP5	Q13451	ENSG00000096060
HSP90AB1	P08238	ENSG00000096384
HSCB	Q8IWL3	ENSG00000100209
ST13	P50502	ENSG00000100380
FKBP3	Q00688	ENSG00000100442
AHSA1	O95433	ENSG00000100591
PFDN4	Q9NQP4	ENSG00000101132
DNAJC5	Q9H3Z4	ENSG00000101152
DNAJC3	Q13217	ENSG00000102580
STUB1	Q9UNE7	ENSG00000103266
DNAJA3	Q96EY1	ENSG00000103423
DNAJC17	Q9NVM6	ENSG00000104129
PIH1D1	Q9NWS0	ENSG00000104872
SGTA	O43765	ENSG00000104969
URI1	O94763	ENSG00000105176
CDC37	Q16543	ENSG00000105401
FKBP8	Q14318	ENSG00000105701
DNAJC2	Q99543	ENSG00000105821
DNAJB6	O75190	ENSG00000105993
FKBP14	Q9NWM8	ENSG00000106080
HSPB1	P04792	ENSG00000106211
CDC37L1	Q7L3B6	ENSG00000106993
BAG1	Q99933	ENSG00000107262
DNAJC12	Q9UKB3	ENSG00000108176
GRPEL1	Q9HAV7	ENSG00000109519
CRYAB	P02511	ENSG00000109846
HSPA8	P11142	ENSG00000109971
DNAJC4	Q9NNZ3	ENSG00000110011
CHORDC1	Q9UHD1	ENSG00000110172
AIP	O00170	ENSG00000110711
PTGES3	Q15185	ENSG00000110958
BAG2	O95816	ENSG00000112208
HSPA9	P38646	ENSG00000113013
PFDN1	O60925	ENSG00000113068
TTC1	Q99614	ENSG00000113312
DNAJC27	Q9NZQ0	ENSG00000115137
CCT4	P50991	ENSG00000115484
HSPE1	P61604	ENSG00000115541
DNAJC16	Q9Y2G8	ENSG00000116138
EDEM3	Q9BZQ6	ENSG00000116406
DNAJC6	O75061	ENSG00000116675
TXNDC12	O95881	ENSG00000117862
FKBP15	Q5T1M5	ENSG00000119321
FKBP1B	P68106	ENSG00000119782
TCP1	P17987	ENSG00000120438
DNAJC15	Q9Y5T4	ENSG00000120675
HSPH1	Q92598	ENSG00000120694
SIL1	Q9H173	ENSG00000120725
FKBP9	O95302	ENSG00000122642
PFDN5	Q99471	ENSG00000123349
MKKS	Q9NPJ1	ENSG00000125863
TRAP1	Q12931	ENSG00000126602
DNAJC8	O75937	ENSG00000126698
UXT	Q9UBK9	ENSG00000126756
HSPA2	P54652	ENSG00000126803
CANX	P27824	ENSG00000127022
DNAJB9	Q9UBS3	ENSG00000128590
AIPL1	Q9NZN9	ENSG00000129221
DNAJB1	P25685	ENSG00000132002
CCT6B	Q92526	ENSG00000132141
HSPA12B	Q96MM6	ENSG00000132622
HSPBP1	Q9NZL4	ENSG00000133265
EDEM1	Q92611	ENSG00000134109
FKBP11	Q9NYL4	ENSG00000134285
DNAJC14	Q6Y2X3	ENSG00000135392
CCT7	Q99832	ENSG00000135624
DNAJB2	P25686	ENSG00000135924
TTC5	Q8N0Z6	ENSG00000136319
DNAJC1	Q96KC8	ENSG00000136770
DNAJB5	O75953	ENSG00000137094
DNAJC13	O75165	ENSG00000138246
TMX1	Q9H3N1	ENSG00000139921
DNAJA4	Q8WW22	ENSG00000140403
UNC45A	Q9H3U1	ENSG00000140553
UNC45B	Q8IWX7	ENSG00000141161
FKBP10	Q96AY3	ENSG00000141756
PFDN2	Q9UHV9	ENSG00000143256
PDIA6	Q15084	ENSG00000143870
HSPD1	P10809	ENSG00000144381
CCT6A	P40227	ENSG00000146731
DNAJC5B	Q9UF47	ENSG00000147570
DNAJB12	Q9NXW2	ENSG00000148719
SERPINH1	P50454	ENSG00000149257
HYOU1	Q9Y4L1	ENSG00000149428
CCT5	P48643	ENSG00000150753
SACS	Q9NZJ4	ENSG00000151835
BAG3	O95817	ENSG00000151929
HSPB8	Q9UJY1	ENSG00000152137
TXNDC11	Q6PKC3	ENSG00000153066
CLGN	O14967	ENSG00000153132
TOMM70	O94826	ENSG00000154174
ODF1	Q14990	ENSG00000155087
HSPA13	P48723	ENSG00000155304
PDIA4	P13667	ENSG00000155660
VBP1	P61758	ENSG00000155959
CCT8	P50990	ENSG00000156261
BAG4	O95429	ENSG00000156735
CRYAA	P02489	ENSG00000160202
CLPB	Q9H078	ENSG00000162129
DNAJB4	Q9UDY4	ENSG00000162616
CCT3	P49368	ENSG00000163468
DNAJC5G	Q8N7S2	ENSG00000163793
DNAJB14	Q8TBM8	ENSG00000164031
HSPA4L	O95757	ENSG00000164070
GRPEL2	Q8TAA5	ENSG00000164284
VCP	P55072	ENSG00000165280
SUGT1	Q9Y2Z0	ENSG00000165416
TSC1	Q92574	ENSG00000165699
HSPA12A	O43301	ENSG00000165868
BAG5	Q9UL15	ENSG00000166170
CCT2	P78371	ENSG00000166226
TMX3	Q96JJ7	ENSG00000166479
HSP90B1	P14625	ENSG00000166598
PPIB	P23284	ENSG00000166794
CLPX	O76031	ENSG00000166855
PDIA3	P30101	ENSG00000167004
PHB1	P35232	ENSG00000167085
DNAJC7	Q99615	ENSG00000168259
STIP1	P31948	ENSG00000168439
DNAJC21	Q5F1R6	ENSG00000168724
PPIC	P45877	ENSG00000168938
HSPB3	Q12988	ENSG00000169271
HSPB2	Q16082	ENSG00000170276
DNAJC18	Q9H819	ENSG00000170464
MZB1	Q8WU39	ENSG00000170476
HSPA4	P34932	ENSG00000170606
DNAJC24	Q6P3W2	ENSG00000170946
PPID	Q08752	ENSG00000171497
DNAJB7	Q7Z6W7	ENSG00000172404
TTC36	A6NLP5	ENSG00000172425
HSPA6	P17066	ENSG00000173110
FKBP2	P26885	ENSG00000173486
HSPB7	Q9UBY9	ENSG00000173641
RUVBL1	Q9Y265	ENSG00000175792
DNAJC30	Q96LL9	ENSG00000176410
DNAJC28	Q9NX36	ENSG00000177692
DNAJC22	Q8N4W6	ENSG00000178401
GAK	O14976	ENSG00000178950
CALR	P27797	ENSG00000179218
DNAJB8	Q8NHS0	ENSG00000179407
BBS10	Q8TAM1	ENSG00000179941
BBS12	Q6ZW61	ENSG00000181004
RUVBL2	Q9Y230	ENSG00000183207
PDIA2	Q13087	ENSG00000185615
P4HB	P07237	ENSG00000185624
HSPA14	Q0VDF9	ENSG00000187522
DNAJB13	P59910	ENSG00000187726
PPIA	P62937	ENSG00000196262
SGTB	Q96EQ0	ENSG00000197860
ERO1A	Q96HE7	ENSG00000197930
TXNRD1	Q16881	ENSG00000198431
CCT8L2	Q96SF2	ENSG00000198445
PFDN6	O15212	ENSG00000204220
FKBPL	Q9UIM3	ENSG00000204315
HSPA1B	P0DMV9	ENSG00000204388
HSPA1A	P0DMV8	ENSG00000204389
HSPA1L	P34931	ENSG00000204390
BAG6	P46379	ENSG00000204463
DNAJC19	Q96DA6	ENSG00000205981
DNAJC9	Q8WXX5	ENSG00000213551
TMX2	Q9Y320	ENSG00000213593
PHB2	Q99623	ENSG00000215021
TXNDC5	Q8NBS9	ENSG00000239264
TTC4	O95801	ENSG00000243725
DNAAF4	Q8WXU2	ENSG00000256061
HSPB9	Q9BQS6	ENSG00000260325
AHSA2	Q719I0	ENSG00000173209
