Transcript stable ID	Gene name	UniProtKB/Swiss-Prot ID
ENST00000318602	A2M	P01023
ENST00000299698	A2ML1	A8K2U0
ENST00000399837	ADA2	Q9NZK5
ENST00000256412	ADAMDEC1	O15204
ENST00000284984	ADAMTS1	Q9UHI8
ENST00000504830	ADAMTS12	P58397
ENST00000355699	ADAMTS13	Q76LX8
ENST00000373207	ADAMTS14	Q8WXS8
ENST00000299164	ADAMTS15	Q8TE58
ENST00000274181	ADAMTS16	Q8TE57
ENST00000268070	ADAMTS17	Q8TE56
ENST00000282849	ADAMTS18	Q8TE60
ENST00000251582	ADAMTS2	O95450
ENST00000389420	ADAMTS20	P59510
ENST00000286657	ADAMTS3	O15072
ENST00000284987	ADAMTS5	Q9UNA0
ENST00000388820	ADAMTS7	Q9UKP4
ENST00000257359	ADAMTS8	Q9UP79
ENST00000498707	ADAMTS9	Q9P2N4
ENST00000380548	ADAMTSL1	Q8N6G6
ENST00000651351	ADAMTSL2	Q86TH1
ENST00000286744	ADAMTSL3	P82987
ENST00000271643	ADAMTSL4	Q6UY14
ENST00000238561	ADCK1	Q86TW2
ENST00000320741	ADIPOQ	Q15848
ENST00000278175	ADM	P35318
ENST00000223357	AEBP1	Q8IUX7
ENST00000395792	AFP	P02771
ENST00000312916	AGGF1	Q8N302
ENST00000379370	AGRN	O00468
ENST00000290953	AGRP	O00253
ENST00000366667	AGT	P01019
ENST00000411641	AHSG	P02765
ENST00000672341	AIMP1	Q12904
ENST00000295897	ALB	P02768
ENST00000322937	AMBN	Q9NP70
ENST00000380714	AMELX	Q99217
ENST00000221496	AMH	P03971
ENST00000397990	ANG	P03950
ENST00000517746	ANGPT1	Q15389
ENST00000629816	ANGPT2	O15123
ENST00000381922	ANGPT4	Q9Y264
ENST00000234816	ANGPTL1	O95841
ENST00000373425	ANGPTL2	Q9UKU9
ENST00000371129	ANGPTL3	Q9Y5C1
ENST00000253109	ANGPTL6	Q8NI99
ENST00000376819	ANGPTL7	O43827
ENST00000262648	ANOS1	P23352
ENST00000451270	ANXA2	P07355
ENST00000617537	AOAH	P28039
ENST00000236850	APOA1	P02647
ENST00000367990	APOA2	P02652
ENST00000357780	APOA4	P06727
ENST00000227665	APOA5	Q6Q788
ENST00000233242	APOB	P04114
ENST00000252490	APOC2	P02655
ENST00000227667	APOC3	P02656
ENST00000592954	APOC4	P55056
ENST00000252486	APOE	P02649
ENST00000398189	APOF	Q13790
ENST00000205948	APOH	P02749
ENST00000328668	ARSI	Q5FYB1
ENST00000380009	ARSK	Q6UWY0
ENST00000372359	ARTN	Q5T4W7
ENST00000380293	AVP	P01185
ENST00000233997	AZU1	P20160
ENST00000648006	B2M	P61769
ENST00000329117	BCAN	Q96GW7
ENST00000264381	BCHE	P06276
ENST00000331595	BGN	P21810
ENST00000306385	BMP1	P13497
ENST00000295379	BMP10	O95393
ENST00000252677	BMP15	O95972
ENST00000378827	BMP2	P12643
ENST00000282701	BMP3	P12645
ENST00000245451	BMP4	P12644
ENST00000283147	BMP6	P22004
ENST00000395863	BMP7	P18075
