Transcript stable ID	Gene name	UniProtKB/Swiss-Prot ID
ENST00000303728	PRY	O14603
ENST00000338981	USP9Y	O00507
ENST00000303804	PRY2	O14603
ENST00000361365	EIF1AY	O14602
ENST00000331070	BPY2	O14599
ENST00000382680	RBMY1D	P0C7P1
ENST00000304790	HSFY2	Q96LI6
ENST00000317961	KDM5D	Q9BY66
ENST00000307393	HSFY1	Q96LI6
ENST00000321217	TGIF2LY	Q8IUE0
ENST00000303766	RBMY1F	Q15415
ENST00000250838	CDY2A	Q9Y6F7
ENST00000382287	BPY2C	O14599
ENST00000382867	CDY2B	Q9Y6F7
ENST00000383070	SRY	Q05066
ENST00000250784	RPS4Y1	P22090
ENST00000155093	ZFY	P08048
ENST00000336079	DDX3Y	O15523
ENST00000284856	TMSB4Y	O14604
ENST00000250825	VCY	O14598
ENST00000382365	DAZ3	Q9NR90
ENST00000405239	DAZ1	Q9NQZ3
ENST00000383032	TBL1Y	Q9BQ87
ENST00000382659	RBMY1E	A6NEQ0
ENST00000250823	VCY1B	O14598
ENST00000629237	RPS4Y2	Q8TD47
ENST00000382407	CDY1B	Q9Y6F8
ENST00000382392	BPY2B	O14599
ENST00000306609	CDY1	Q9Y6F8
ENST00000250831	RBMY1J	Q15415
ENST00000383020	RBMY1B	A6NDE4
ENST00000382707	RBMY1A1	P0DJD3
ENST00000426950	TSPY4	P0CV99
ENST00000287721	TSPY8	P0CW00
ENST00000457222	TSPY3	P0CV98
ENST00000451548	TSPY1	Q01534
ENST00000440215	TSPY9	A0A494C1R9
ENST00000428845	TSPY10	P0CW01
ENST00000320701	TSPY2	A6NKD2
ENST00000284885	TMPRSS15	P98073
ENST00000382751	URB1	O60287
ENST00000416044	KRTAP25-1	Q3LHN0
ENST00000399312	MRPS6	P82932
ENST00000340345	KRTAP24-1	Q3LI83
ENST00000314103	CHAF1B	Q13112
ENST00000286835	SCAF4	O95104
ENST00000410005	C21orf140	B9A014
ENST00000270112	HUNK	P57058
ENST00000284881	C21orf91	Q9NYK6
ENST00000400485	MORC3	Q14149
ENST00000382172	MIPEP	Q99797
ENST00000331923	PAXBP1	Q9Y5B6
ENST00000380615	KATNAL1	Q9BW62
ENST00000635918	UBE2L5	A0A1B0GUS4
ENST00000261667	KPNA3	O00505
ENST00000298248	CRYL1	Q9Y2S2
ENST00000409308	CAB39L	Q9H9S4
