Transcript stable ID	Gene name	UniProtKB/Swiss-Prot ID
ENST00000710319	OR4C45	A6NMZ5
ENST00000480456	JAM2	P57087
ENST00000286808	CLDN17	P56750
ENST00000652641	CYYR1	Q96J86
ENST00000381151	SLC5A3	P53794
ENST00000400546	NCAM2	O15394
ENST00000399899	CLDN8	P56748
ENST00000379221	DNAJC15	Q9Y5T4
ENST00000405846	GPR12	P47775
ENST00000492622	FNDC3A	Q9Y2H6
ENST00000379589	LHFPL6	Q9Y693
ENST00000381318	ITSN1	Q15811
ENST00000399135	CLDN14	O95500
ENST00000299295	CHODL	Q9H9P2
ENST00000398938	KCNJ15	Q99712
ENST00000280481	FREM2	Q5SZK8
ENST00000377104	SPRY2	O43597
ENST00000403766	UBAC2	Q8NBM4
ENST00000300255	EVA1C	P58658
ENST00000400256	COLEC12	Q5KU26
ENST00000450895	SMIM34	A8MWV9
ENST00000399292	SMIM11	P58511
ENST00000377918	PCDH17	O14917
ENST00000588072	MPPE1	Q53F39
ENST00000315190	SERTM1	A2A2V5
ENST00000380752	SLC7A1	P30825
ENST00000291572	AGPAT3	Q9NRZ7
ENST00000376503	SLC15A1	P46059
ENST00000255226	SLC14A2	Q15849
ENST00000389797	LRCH1	Q9Y2L9
ENST00000647374	SLITRK6	Q9H5Y7
ENST00000377865	PCDH9	Q9HC56
ENST00000391403	CTAGE1	Q96RT6
ENST00000337963	ZMYM5	Q9UJ78
ENST00000256906	HRH4	Q9H3N8
ENST00000317571	TTC39C	Q8N584
ENST00000379631	STOML3	Q8TAV4
ENST00000375915	NALF1	B1AL88
ENST00000375353	TMEM255B	Q8WV15
ENST00000324000	ST8SIA3	O43173
ENST00000312828	RNF152	Q8N8N0
ENST00000311124	SLC19A1	P41440
ENST00000262160	SMAD2	Q15796
ENST00000402142	CACNA1I	Q9P0X4
ENST00000379453	ADRA1D	P25100
ENST00000218721	MLNR	O43193
ENST00000303415	SIRPG	Q9P1W8
ENST00000241453	FLT3	P36888
ENST00000303645	MRAP	Q8TCY5
ENST00000269205	SLC25A52	Q3SY17
ENST00000397968	CDH7	Q9ULB5
ENST00000290310	KCNE2	Q9Y6J6
ENST00000299766	MC4R	P32245
ENST00000378182	TRIM13	O60858
ENST00000299608	TMX3	Q96JJ7
ENST00000376862	SYNDIG1	Q9H7V2
ENST00000618007	TPTE	P56180
ENST00000262717	CDH20	Q9HBT6
ENST00000629372	TMEM272	A0A1B0GTI8
ENST00000217456	APMAP	Q9HDC9
ENST00000309660	PTPN2	P17706
ENST00000379705	TRPC4	Q9UBN4
ENST00000262150	CDH19	Q9H159
ENST00000399002	SPTLC3	Q9NUV7
ENST00000269187	SLC39A6	Q13433
ENST00000299727	GALR1	P47211
ENST00000251127	NALCN	Q8IZF0
ENST00000649170	GET1	O00258
ENST00000322527	CCDC168	Q8NDH2
ENST00000330817	ALG12	Q9BV10
ENST00000254958	JAG1	P78504
ENST00000328933	SYNGR1	O43759
ENST00000400454	DSCAM	O60469
ENST00000330333	BACE2	Q9Y5Z0
ENST00000338244	SLC23A2	Q9UGH3
ENST00000253255	PKDREJ	Q9NTG1
ENST00000218867	SGCG	Q13326
ENST00000337554	TSPO	P30536
ENST00000618847	CHST9	Q7L1S5
ENST00000381176	SHISAL1	Q3SXP7
