Transcript stable ID	Gene name	UniProtKB/Swiss-Prot ID
ENST00000259357	OR1J1	Q8NGS3
ENST00000395348	SLC16A9	Q7RTY1
ENST00000264734	CLDN16	Q9Y5I7
ENST00000334122	TEX38	Q6PEX7
ENST00000344920	NNT	Q13423
ENST00000372663	ZDHHC12	Q96GR4
ENST00000467087	STIM2	Q9P246
ENST00000298130	SPTSSA	Q969W0
ENST00000267015	GPR84	Q9NQS5
ENST00000442196	CCPG1	Q9ULG6
ENST00000453268	ISLR2	Q6UXK2
ENST00000291572	AGPAT3	Q9NRZ7
ENST00000380211	OR51I1	Q9H343
ENST00000312648	CD7	P09564
ENST00000280871	SLC2A13	Q96QE2
ENST00000344529	PIGC	Q92535
ENST00000390666	TSSK1B	Q9BXA7
ENST00000289272	PCDHA13	Q9Y5I0
ENST00000368586	CFAP46	Q8IYW2
ENST00000360202	KIRREL2	Q6UWL6
ENST00000532917	CD3G	P09693
ENST00000425340	FUT2	Q10981
ENST00000533357	MPZ	P25189
ENST00000369303	EPHA7	Q15375
ENST00000318430	TMC8	Q8IU68
ENST00000263317	NOX4	Q9NPH5
ENST00000262291	VMP1	Q96GC9
ENST00000642356	SCN9A	Q15858
ENST00000620149	SPTSSB	Q8NFR3
ENST00000469902	SLC12A8	A0AV02
ENST00000371085	GNAS	P63092
ENST00000306312	SLC26A5	P58743
ENST00000434821	ACVR1	Q04771
ENST00000301057	TP53I13	Q8NBR0
ENST00000396439	KLRC3	Q07444
ENST00000470691	CTAGE6	Q86UF2
ENST00000360150	ERGIC2	Q96RQ1
ENST00000412723	PIGZ	Q86VD9
ENST00000378585	GABRD	O14764
ENST00000453424	MARCHF8	Q5T0T0
ENST00000375353	TMEM255B	Q8WV15
ENST00000605930	ITPR3	Q14573
ENST00000335659	ANKRD46	Q86W74
ENST00000316157	LARP4B	Q92615
ENST00000361193	SLC26A11	Q86WA9
ENST00000274721	GFRA3	O60609
ENST00000379221	DNAJC15	Q9Y5T4
ENST00000234301	COX7A2L	O14548
ENST00000372990	RHBDL2	Q9NX52
ENST00000540461	OR6J1	Q8NGC5
ENST00000358146	DMRT2	Q9Y5R5
ENST00000426820	HIPK1	Q86Z02
ENST00000601016	TAFAZZIN	Q16635
ENST00000379453	ADRA1D	P25100
ENST00000446997	SLC4A10	Q6U841
ENST00000371899	SLC2A6	Q9UGQ3
ENST00000618155	ECSCR	Q19T08
ENST00000377095	SLC25A39	Q9BZJ4
ENST00000303749	SDR16C5	Q8N3Y7
ENST00000439977	HERPUD1	Q15011
ENST00000382275	CDH18	Q13634
ENST00000623930	OR5D13	Q8NGL4
ENST00000651514	CYP3A4	P08684
