Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	Gene name
ENSG00000099721	ENST00000651267	Q99218	AMELY
ENSG00000133110	ENST00000379747	Q15063	POSTN
ENSG00000083535	ENST00000326291	Q8WXW3	PIBF1
ENSG00000154736	ENST00000284987	Q9UNA0	ADAMTS5
ENSG00000188811	ENST00000379600	Q5JS37	NHLRC3
ENSG00000102837	ENST00000219022	Q6UX06	OLFM4
ENSG00000099985	ENST00000215781	P13725	OSM
ENSG00000153498	ENST00000283550	Q96KW9	SPACA7
ENSG00000182871	ENST00000651438	P39060	COL18A1
ENSG00000128342	ENST00000249075	P15018	LIF
ENSG00000101282	ENST00000217260	Q2I0M5	RSPO4
ENSG00000125903	ENST00000246105	Q9H1M3	DEFB129
ENSG00000101280	ENST00000381922	Q9Y264	ANGPT4
ENSG00000154734	ENST00000284984	Q9UHI8	ADAMTS1
ENSG00000178591	ENST00000382410	Q8N687	DEFB125
ENSG00000125845	ENST00000378827	P12643	BMP2
ENSG00000101327	ENST00000217305	P01213	PDYN
ENSG00000185982	ENST00000334391	Q7Z7B8	DEFB128
ENSG00000125788	ENST00000382398	Q9BYW3	DEFB126
ENSG00000125851	ENST00000262545	P16519	PCSK2
ENSG00000125815	ENST00000246012	O60676	CST8
ENSG00000101230	ENST00000262487	B1AKI9	ISM1
ENSG00000170367	ENST00000304710	P28325	CST5
ENSG00000077984	ENST00000480798	O76096	CST7
ENSG00000170369	ENST00000304725	P09228	CST2
ENSG00000080618	ENST00000181383	Q96IY4	CPB2
ENSG00000088782	ENST00000382388	Q9H1M4	DEFB127
ENSG00000141668	ENST00000269503	Q8IUK8	CBLN2
ENSG00000100311	ENST00000331163	P01127	PDGFB
ENSG00000183087	ENST00000327773	Q14393	GAS6
ENSG00000101435	ENST00000376979	Q9H4G1	CST9L
ENSG00000180205	ENST00000326000	Q8NEX5	WFDC9
ENSG00000149639	ENST00000237536	O94964	MTCL2
ENSG00000180305	ENST00000372643	Q9H1F0	WFDC10A
ENSG00000160181	ENST00000291526	Q03403	TFF2
ENSG00000160182	ENST00000291527	P04155	TFF1
ENSG00000133466	ENST00000337843	Q9BXI9	C1QTNF6
ENSG00000180083	ENST00000324384	Q8NEX6	WFDC11
ENSG00000125363	ENST00000380714	Q99217	AMELX
ENSG00000169084	ENST00000334651	Q8N5I4	DHRSX
ENSG00000011201	ENST00000262648	P23352	ANOS1
ENSG00000101955	ENST00000378533	P78539	SRPX
ENSG00000054803	ENST00000064571	Q9NTU7	CBLN4
ENSG00000134020	ENST00000256404	Q96S96	PEBP4
ENSG00000150656	ENST00000358821	Q96KN2	CNDP1
ENSG00000178473	ENST00000380433	Q969E3	UCN3
ENSG00000175894	ENST00000323084	Q8WU66	TSPEAR
ENSG00000147885	ENST00000380216	P05015	IFNA16
ENSG00000128791	ENST00000262120	Q9GZX9	TWSG1
ENSG00000151655	ENST00000358415	P19823	ITIH2
ENSG00000151468	ENST00000378825	Q9BQI4	CCDC3
ENSG00000159167	ENST00000290271	P52823	STC1
ENSG00000118271	ENST00000237014	P02766	TTR
ENSG00000101439	ENST00000376925	P01034	CST3
ENSG00000101670	ENST00000261292	Q9Y5X9	LIPG
ENSG00000179600	ENST00000621500	Q86YW7	GPHB5
ENSG00000100312	ENST00000216139	P10323	ACR
ENSG00000109625	ENST00000360986	Q66K79	CPZ
ENSG00000134013	ENST00000389131	Q9Y4K0	LOXL2
ENSG00000172458	ENST00000682841	Q8TAD2	IL17D
ENSG00000101144	ENST00000395863	P18075	BMP7
ENSG00000170891	ENST00000307746	Q9NRR1	CYTL1
ENSG00000142156	ENST00000361866	P12109	COL6A1
ENSG00000119681	ENST00000261978	Q14767	LTBP2
ENSG00000160180	ENST00000518498	Q07654	TFF3
ENSG00000102313	ENST00000218436	Q6UXX5	ITIH6
ENSG00000177706	ENST00000313766	Q8IXL6	FAM20C
ENSG00000124479	ENST00000642620	Q00604	NDP
ENSG00000125378	ENST00000245451	P12644	BMP4
ENSG00000188992	ENST00000681601	Q6XZB0	LIPI
ENSG00000130702	ENST00000252999	O15230	LAMA5
ENSG00000122584	ENST00000405863	P58417	NXPH1
ENSG00000129988	ENST00000217407	P18428	LBP
ENSG00000102678	ENST00000382353	P31371	FGF9
ENSG00000124205	ENST00000337938	P14138	EDN3
ENSG00000122585	ENST00000242152	P01303	NPY
ENSG00000196468	ENST00000439435	O43320	FGF16
ENSG00000105954	ENST00000222674	Q9HCQ7	NPVF
ENSG00000103489	ENST00000261381	Q86Y38	XYLT1
ENSG00000107984	ENST00000373970	O94907	DKK1
ENSG00000153162	ENST00000283147	P22004	BMP6
ENSG00000121005	ENST00000262207	Q9H336	CRISPLD1
ENSG00000145990	ENST00000379287	Q9NXC2	GFOD1
ENSG00000125965	ENST00000374369	P43026	GDF5
ENSG00000173335	ENST00000376971	Q5W186	CST9
ENSG00000125879	ENST00000246081	Q9NRC9	OTOR
ENSG00000184344	ENST00000329913	Q9NR23	GDF3
ENSG00000171201	ENST00000304915	P02814	SMR3B
ENSG00000154764	ENST00000285018	O00755	WNT7A
ENSG00000117983	ENST00000529681	Q9HC84	MUC5B
