Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	Gene name
ENSG00000067646	ENST00000155093	P08048	ZFY
ENSG00000102781	ENST00000380615	Q9BW62	KATNAL1
ENSG00000102554	ENST00000377687	Q13887	KLF5
ENSG00000065150	ENST00000651721	O00410	IPO5
ENSG00000120688	ENST00000379487	O75554	WBP4
ENSG00000101745	ENST00000262126	Q6UB98	ANKRD12
ENSG00000101773	ENST00000327155	Q99708	RBBP8
ENSG00000126216	ENST00000261965	Q96CW5	TUBGCP3
ENSG00000125898	ENST00000381941	Q9BQ89	FAM110A
ENSG00000075234	ENST00000381031	Q5R3I4	TTC38
ENSG00000125834	ENST00000381482	Q8TDR2	STK35
ENSG00000102780	ENST00000337343	Q86XP1	DGKH
ENSG00000004961	ENST00000380762	P53701	HCCS
ENSG00000120662	ENST00000379480	O75570	MTRF1
ENSG00000124126	ENST00000371941	Q8TCU6	PREX1
ENSG00000121741	ENST00000610343	Q9UBW7	ZMYM2
ENSG00000100519	ENST00000445930	P62333	PSMC6
ENSG00000122692	ENST00000397149	Q2TAY7	SMU1
ENSG00000104714	ENST00000262109	Q86X53	ERICH1
ENSG00000126778	ENST00000645694	Q15475	SIX1
ENSG00000100324	ENST00000216160	Q15750	TAB1
ENSG00000047230	ENST00000359276	Q9NRF8	CTPS2
ENSG00000102805	ENST00000377453	O75503	CLN5
ENSG00000106511	ENST00000262041	P50222	MEOX2
ENSG00000083223	ENST00000375963	Q5VYS8	TUT7
ENSG00000100418	ENST00000263256	Q6ICB0	DESI1
ENSG00000087842	ENST00000380420	O00625	PIR
ENSG00000107372	ENST00000376962	O76080	ZFAND5
ENSG00000100138	ENST00000401959	P55769	SNU13
ENSG00000100209	ENST00000216027	Q8IWL3	HSCB
ENSG00000102316	ENST00000375068	Q9UNF1	MAGED2
ENSG00000102349	ENST00000468660	O95600	KLF8
ENSG00000103199	ENST00000219478	O60304	ZNF500
ENSG00000124232	ENST00000343694	Q9UBG7	RBPJL
ENSG00000112273	ENST00000510882	Q5TGJ6	HDGFL1
ENSG00000070010	ENST00000263202	Q92890	UFD1
ENSG00000101158	ENST00000652272	Q8IXH7	NELFCD
ENSG00000124172	ENST00000243997	P56381	ATP5F1E
ENSG00000116017	ENST00000263620	Q99856	ARID3A
ENSG00000076641	ENST00000220597	Q9NWQ8	PAG1
ENSG00000124120	ENST00000262605	Q9BTX7	TTPAL
ENSG00000112183	ENST00000379052	Q9BX46	RBM24
ENSG00000124193	ENST00000244020	Q13247	SRSF6
ENSG00000101057	ENST00000217026	P10244	MYBL2
ENSG00000102390	ENST00000373358	Q9BVG4	PBDC1
ENSG00000124196	ENST00000373003	Q9H1H1	GTSF1L
ENSG00000107789	ENST00000371996	Q9UNW1	MINPP1
ENSG00000088756	ENST00000383472	Q9P2N2	ARHGAP28
ENSG00000078902	ENST00000317204	Q9H0E2	TOLLIP
ENSG00000122691	ENST00000242261	Q15672	TWIST1
ENSG00000035720	ENST00000265404	Q9ULZ2	STAP1
ENSG00000074211	ENST00000382599	Q9Y2T4	PPP2R2C
ENSG00000100281	ENST00000216106	Q9UGU5	HMGXB4
ENSG00000112078	ENST00000373731	Q7Z5Y7	KCTD20
ENSG00000102021	ENST00000371920	Q9P127	LUZP4
ENSG00000101654	ENST00000383314	O43148	RNMT
ENSG00000031691	ENST00000335783	Q7L2Z9	CENPQ
ENSG00000104356	ENST00000401707	Q99575	POP1
ENSG00000100987	ENST00000376709	Q9NZR4	VSX1
ENSG00000102910	ENST00000285737	Q86WA8	LONP2
ENSG00000101335	ENST00000279022	P24844	MYL9
ENSG00000118707	ENST00000373872	Q9GZN2	TGIF2
ENSG00000120963	ENST00000311212	Q9Y5V0	ZNF706
ENSG00000114166	ENST00000263754	Q92831	KAT2B
ENSG00000120694	ENST00000320027	Q92598	HSPH1
ENSG00000060982	ENST00000261192	P54687	BCAT1
ENSG00000105278	ENST00000262961	Q9UPR6	ZFR2
ENSG00000111713	ENST00000261195	P54840	GYS2
ENSG00000099910	ENST00000328879	Q53GT1	KLHL22
ENSG00000108578	ENST00000261714	Q13867	BLMH
ENSG00000104267	ENST00000285379	P00918	CA2
ENSG00000112081	ENST00000373715	P84103	SRSF3
ENSG00000126226	ENST00000337344	Q5JVF3	PCID2
ENSG00000106524	ENST00000306999	Q8IV38	ANKMY2
ENSG00000100982	ENST00000372409	Q9H4Z3	PCIF1
ENSG00000065989	ENST00000380702	P27815	PDE4A
ENSG00000121380	ENST00000308721	Q9BZR8	BCL2L14
ENSG00000034239	ENST00000262103	Q9HAE3	CLXN
ENSG00000099995	ENST00000215793	Q15459	SF3A1
ENSG00000112305	ENST00000370455	Q8IYB5	SMAP1
ENSG00000008056	ENST00000295987	P17600	SYN1
ENSG00000088682	ENST00000262507	O75208	COQ9
ENSG00000071859	ENST00000393600	Q14320	FAM50A
ENSG00000107560	ENST00000355624	Q7L804	RAB11FIP2
ENSG00000084710	ENST00000403714	Q9Y2G0	EFR3B
ENSG00000064490	ENST00000303088	O14593	RFXANK
ENSG00000100842	ENST00000216733	O43281	EFS
ENSG00000105058	ENST00000263384	Q9Y421	FAM32A
ENSG00000019549	ENST00000020945	O43623	SNAI2
ENSG00000118960	ENST00000304031	Q53T59	HS1BP3
ENSG00000119778	ENST00000238789	Q9ULI0	ATAD2B
ENSG00000103248	ENST00000360900	Q2M296	MTHFSD
ENSG00000108599	ENST00000225737	O43572	AKAP10
ENSG00000100605	ENST00000267615	Q13572	ITPK1
ENSG00000102794	ENST00000377462	A6NK06	ACOD1
ENSG00000063587	ENST00000650114	Q9NSD4	ZNF275
ENSG00000012963	ENST00000013070	Q8N806	UBR7
ENSG00000100504	ENST00000216392	P06737	PYGL
ENSG00000102580	ENST00000602402	Q13217	DNAJC3
ENSG00000118620	ENST00000261560	Q9H8G1	ZNF430
ENSG00000104490	ENST00000220931	P61601	NCALD
ENSG00000104537	ENST00000419625	P27216	ANXA13
ENSG00000103187	ENST00000262428	Q14019	COTL1
ENSG00000119640	ENST00000238618	P07311	ACYP1
ENSG00000119703	ENST00000524913	Q53FD0	ZC2HC1C
ENSG00000114423	ENST00000394030	Q13191	CBLB
