Transcript stable ID	Gene name	UniProtKB/Swiss-Prot ID
ENST00000316519	AACS	Q86V21
ENST00000341511	ABCA2	Q9BZC7
ENST00000392676	ABCA5	Q8WWZ7
ENST00000586539	ABCA8	O94911
ENST00000265316	ABCB6	Q9NP58
ENST00000372530	ABCC10	Q5T3U5
ENST00000205557	ABCC6	O95255
ENST00000389817	ABCC8	Q09428
ENST00000308666	ABCD2	Q9UBJ2
ENST00000237612	ABCG2	Q9UNQ0
ENST00000405322	ABCG5	Q9H222
ENST00000339157	ABHD12	Q8N2K0
ENST00000281455	ACSL1	P33121
ENST00000360596	ACSS2	Q9NR19
ENST00000434821	ACVR1	Q04771
ENST00000352511	ACVR2B	Q13705
ENST00000388922	ACVRL1	P37023
ENST00000372874	ADA	P00813
ENST00000072869	ADCK2	Q7Z695
ENST00000297323	ADCY1	Q08828
ENST00000462833	ADCY5	O95622
ENST00000357869	ADCY6	O43306
ENST00000349457	ADGRG5	Q8IZF4
ENST00000370742	ADGRL4	Q9HBW9
ENST00000405460	ADGRV1	Q8WXG9
ENST00000320285	AGPAT4	Q9NRZ5
ENST00000285518	AGPAT5	Q9NUQ2
ENST00000349243	AGTR1	P30556
ENST00000371906	AGTR2	P50052
ENST00000176643	ALDH3A2	P51648
ENST00000553458	ALDH6A1	Q02252
ENST00000521508	ALG11	Q2TAA5
ENST00000397676	ALG3	Q92685
ENST00000263440	ALG6	Q9Y672
ENST00000257863	AMHR2	Q16671
ENST00000341068	ANAPC1	Q9H1A4
ENST00000335659	ANKRD46	Q86W74
ENST00000292246	ANO10	Q9NW15
ENST00000320560	ANO6	Q4KMQ2
ENST00000159087	ANO8	Q9HCE9
ENST00000261879	APH1B	Q8WW43
ENST00000383168	AQP4	P55087
ENST00000293599	AQP5	P55064
ENST00000356357	AREL1	O15033
ENST00000304414	ARL6IP1	Q15041
ENST00000372829	ARMCX1	Q9P291
ENST00000356824	ARMCX2	Q7L311
ENST00000381134	ARSL	P51690
ENST00000310256	ARV1	Q9H2C2
ENST00000480796	ASB11	Q8WXH4
ENST00000225823	ASIC2	Q16515
ENST00000349064	ASIC3	Q9UHC3
ENST00000215906	ASPHD2	Q6ICH7
ENST00000313400	ASTN2	O75129
ENST00000361242	ATG9A	Q7Z3C6
ENST00000327245	ATP10B	O94823
ENST00000326735	ATP13A2	Q9NQ11
ENST00000342695	ATP13A4	Q4VNC1
ENST00000342358	ATP13A5	Q4VNC0
ENST00000395503	ATP2A1	O14983
ENST00000263519	ATP2B3	Q16720
ENST00000510168	ATP2C1	P98194
ENST00000343619	ATP6V0A1	Q93050
ENST00000350721	ATR	Q13535
ENST00000355044	ATRNL1	Q5VV63
ENST00000318709	AVL9	Q8NBF6
ENST00000367126	AVPR1B	P47901
ENST00000374521	AWAT1	Q58HT5
ENST00000276101	AWAT2	Q6E213
ENST00000367434	B3GALT2	O43825
ENST00000515059	BMPR1B	O00238
ENST00000374580	BMPR2	Q13873
ENST00000262644	BPNT2	Q9NX62
ENST00000360796	BSCL2	Q96G97
ENST00000289361	BTN3A1	O00481
ENST00000342868	BTNL3	Q6UXE8
ENST00000327705	BTNL9	Q6UXG8
ENST00000329410	C16orf54	Q6UWD8
ENST00000304661	C1GALT1C1	Q96EU7
ENST00000595464	C5AR2	Q9P296
ENST00000300900	CA4	P22748
ENST00000316948	CACFD1	Q9UGQ2
ENST00000360228	CACNA1A	O00555
ENST00000350061	CACNA1D	Q01668
ENST00000359106	CACNA1G	O43497
ENST00000402142	CACNA1I	Q9P0X4
ENST00000362061	CACNA1S	Q13698
ENST00000539935	CACNB4	O00305
ENST00000226021	CACNG1	Q06432
ENST00000270458	CACNG8	Q8WXS5
ENST00000392370	CALCRL	Q16602
ENST00000395275	CALN1	Q9BXU9
ENST00000256460	CAMK1	Q14012
ENST00000395749	CAMK2B	Q13554
ENST00000297273	CASD1	Q96PB1
ENST00000456354	CATSPER4	Q7RTX7
ENST00000366534	CATSPERE	Q5SY80
ENST00000341049	CAV1	Q03135
ENST00000322527	CCDC168	Q8NDH2
ENST00000442196	CCPG1	Q9ULG6
ENST00000332438	CCR10	P46092
ENST00000313599	CD163L1	Q9NR16
ENST00000310786	CD164	Q04900
ENST00000256447	CD180	Q99467
ENST00000538922	CD19	P15391
ENST00000289429	CD1A	P06126
ENST00000266557	CD27	P26842
ENST00000324106	CD28	P10747
ENST00000301458	CD320	Q9NPF0
ENST00000532917	CD3G	P09693
ENST00000347785	CD5	P06127
ENST00000009530	CD74	P04233
ENST00000006750	CD79B	P40259
ENST00000379153	CD83	Q01151
ENST00000289746	CDH15	P55291
ENST00000027335	CDH17	Q12864
ENST00000224721	CDH23	Q9H251
ENST00000487137	CDH24	Q86UP0
ENST00000264012	CDH3	P22223
ENST00000412678	CDHR4	A6H8M9
ENST00000397542	CDHR5	Q9HBB8
ENST00000531738	CDON	Q4KMG0
ENST00000161559	CEACAM1	P13688
ENST00000221954	CEACAM4	O75871
ENST00000271332	CELSR2	Q9HCU4
ENST00000366542	CEP170	Q5SW79
ENST00000366847	CEP43	O95684
ENST00000556440	CEP95	Q96GE4
ENST00000368586	CFAP46	Q8IYW2
ENST00000378653	CFAP47	Q6ZTR5
ENST00000003084	CFTR	P13569
ENST00000373502	CHIC1	Q5VXU3
ENST00000299295	CHODL	Q9H9P2
ENST00000348749	CHRNA1	P02708
ENST00000368476	CHRNB2	P17787
ENST00000264249	CHST10	O43529
ENST00000306243	CHST14	Q8NCH0
ENST00000336257	CHST5	Q9GZS9
ENST00000370563	CLCA4	Q14CN2
ENST00000380833	CLCN4	P51793
ENST00000375679	CLCNKB	P51801
ENST00000064724	CLDN11	O75508
ENST00000399135	CLDN14	O95500
ENST00000264734	CLDN16	Q9Y5I7
ENST00000296387	CLDN19	Q8N6F1
ENST00000445369	CLDN9	O95484
ENST00000327325	CLEC4M	Q9H2X3
ENST00000382073	CLEC6A	Q6EIG7
ENST00000298912	CLMN	Q96JQ2
ENST00000448775	CLMP	Q9H6B4
ENST00000249806	CLN6	Q9NWW5
ENST00000320895	CLPTM1L	Q96KA5
ENST00000327047	CLRN1	P58418
ENST00000377298	CLSTN1	O94985
ENST00000458420	CLSTN2	Q9H4D0
ENST00000266546	CLSTN3	Q9BQT9
ENST00000380342	CLTRN	Q9HBJ8
ENST00000251102	CNGB1	Q14028
ENST00000320005	CNGB3	Q9NQW8
ENST00000272133	CNIH3	Q8TBE1
ENST00000305510	CNNM3	Q8NE01
ENST00000377075	CNNM4	Q6P4Q7
ENST00000317147	CNOT1	A5YKK6
ENST00000588408	CNTD1	Q8N815
ENST00000297668	CNTNAP3	Q9BZ76
ENST00000273857	CORIN	Q9Y5Q5
ENST00000312108	CPT1B	Q92523
ENST00000598293	CPT1C	Q8TCG5
ENST00000367057	CR2	P20023
ENST00000353704	CREB3	O43889
ENST00000452070	CRELD1	Q96HD1
ENST00000280527	CRIM1	Q9NZV1
ENST00000403662	CSF2RB	P32927
ENST00000373106	CSF3R	Q99062
ENST00000373381	CSMD2	Q7Z408
ENST00000297405	CSMD3	Q7Z407
ENST00000308508	CSPG4	Q6UVK1
ENST00000271651	CTSK	P43235
ENST00000292535	CUX1	P39880
ENST00000392790	CUZD1	Q86UP6
ENST00000318507	CXCR2	P25025
ENST00000373693	CXCR3	P49682
ENST00000370540	CXorf66	Q5JRM2
ENST00000299498	CYB5R2	Q6BCY4
ENST00000261623	CYBA	P13498
ENST00000306645	CYBC1	Q9BQA9
ENST00000318911	CYC1	P08574
ENST00000310054	CYP2S1	Q96SQ9
ENST00000310638	CYP4A11	Q02928
ENST00000221700	CYP4F2	P78329
ENST00000003100	CYP51A1	Q16850
ENST00000373304	CYSLTR1	Q9Y271
ENST00000297056	DAGLB	Q8NCG7
ENST00000408954	DAPK1	P53355
ENST00000442544	DCC	P43146
ENST00000299441	DCHS1	Q96JQ0
ENST00000357232	DCHS2	Q6V1P9
ENST00000368424	DCST2	Q5T1A1
ENST00000367921	DDR2	Q16832
ENST00000328194	DENND5A	Q6IQ26
ENST00000318109	DERL3	Q96Q80
ENST00000263196	DGCR2	P98153
ENST00000284061	DGKE	P52429
ENST00000219240	DHODH	Q02127
ENST00000438257	DIO2	Q92813
ENST00000510508	DIO3	P55073
ENST00000417564	DIP2A	Q14689
ENST00000371692	DIPK1B	Q5VUD6
ENST00000267889	DISP2	A7MBM2
ENST00000366756	DLL1	O00548
ENST00000356433	DLL3	Q9NYJ7
ENST00000358146	DMRT2	Q9Y5R5
ENST00000395176	DNAJC30	Q96LL9
ENST00000341772	DNER	Q8NFT8
