Transcript stable ID	Gene name	UniProtKB/Swiss-Prot ID
ENST00000244571	AARS2	Q5JTZ9
ENST00000287844	ABCF2	Q9UG63
ENST00000376140	ABI1	Q8IZP0
ENST00000333167	ACAA1	P09110
ENST00000370841	ACADM	P11310
ENST00000265838	ACAT1	P24752
ENST00000311148	ACOT1	Q86TX2
ENST00000366684	ACTA1	P68133
ENST00000429709	ACTL6A	O96019
ENST00000252699	ACTN4	O43707
ENST00000356080	ADD3	Q9UEY8
ENST00000253003	ADRM1	Q16186
ENST00000296721	AFAP1L1	Q8TED9
ENST00000397238	AGAP3	Q96P47
ENST00000373210	AGO4	Q9HCK5
ENST00000265602	AHI1	Q8N157
ENST00000381129	AIPL1	Q9NZN9
ENST00000225737	AKAP10	O43572
ENST00000371431	AKAP14	Q86UN6
ENST00000344175	AKT1S1	Q96B36
ENST00000371224	ALDH18A1	P54886
ENST00000377698	ALDH1B1	P30837
ENST00000342456	ALDH3B1	P43353
ENST00000252505	ALLC	Q8N6M5
ENST00000251535	ALOX12	P18054
ENST00000293761	ALOX15	P16050
ENST00000448843	ALOXE3	Q9BYJ1
ENST00000295463	ALPI	P09923
ENST00000361673	ALPK2	Q86TB3
ENST00000258888	ALPK3	Q96L96
ENST00000318962	ALS2CL	Q60I27
ENST00000335606	AMACR	Q9UHK6
ENST00000371959	AMOT	Q4VCS5
ENST00000433060	AMOTL1	Q8IY63
ENST00000280772	ANK3	Q12955
ENST00000378392	ANKEF1	Q9NU02
ENST00000341657	ANKFY1	Q9P2R3
ENST00000306999	ANKMY2	Q8IV38
ENST00000371697	ANKRD1	Q15327
ENST00000262126	ANKRD12	Q6UB98
ENST00000511455	ANKRD13D	Q6ZTN6
ENST00000286918	ANKRD9	Q96BM1
ENST00000296511	ANXA5	P08758
ENST00000371917	ARFGEF2	Q9Y6D5
ENST00000368087	ARG1	P05089
ENST00000261783	ARG2	P78540
ENST00000249601	ARHGAP22	Q7Z5H3
ENST00000383472	ARHGAP28	Q9P2N2
ENST00000350060	ARHGAP4	P98171
ENST00000313093	ARHGAP45	Q92619
ENST00000361221	ARHGEF10L	Q9HCE6
ENST00000368194	ARHGEF11	O15085
ENST00000378378	ARHGEF16	Q5VV41
ENST00000409978	ARHGEF33	A8MVX0
ENST00000056217	ARHGEF5	Q12774
ENST00000268042	ARRDC4	Q8NCT1
ENST00000362002	ASB12	Q8WXK4
ENST00000380488	ASB9	Q96DX5
ENST00000392403	ASH1L	Q9NR48
ENST00000381317	ASMTL	O95671
ENST00000263080	ASPA	P45381
ENST00000352480	ASS1	P00966
ENST00000376485	ATAT1	Q5SQI0
ENST00000264110	ATF2	P15336
ENST00000423777	ATF5	Q9Y2D1
ENST00000299575	ATMIN	O43313
ENST00000300145	ATP23	Q9Y6H3
ENST00000243997	ATP5F1E	P56381
ENST00000234396	ATP6V1B1	P15313
ENST00000307078	AXIN2	Q9Y2T1
ENST00000451237	B3GALT4	O96024
ENST00000266383	B4GALNT3	Q6L9W6
ENST00000306851	B4GALT6	Q9UBX8
ENST00000243578	B9D2	Q9BPU9
ENST00000309032	BAD	Q92934
ENST00000322953	BANK1	Q8NDB2
ENST00000448814	BBIP1	A8MTZ0
ENST00000245157	BBS2	Q9BXC9
ENST00000268057	BBS4	Q96RK4
