Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	Gene name
ENSG00000114374	ENST00000338981	O00507	USP9Y
ENSG00000012817	ENST00000317961	Q9BY66	KDM5D
ENSG00000067646	ENST00000155093	P08048	ZFY
ENSG00000067048	ENST00000336079	O15523	DDX3Y
ENSG00000092377	ENST00000383032	Q9BQ87	TBL1Y
ENSG00000027001	ENST00000382172	Q99797	MIPEP
ENSG00000102781	ENST00000380615	Q9BW62	KATNAL1
ENSG00000102753	ENST00000261667	O00505	KPNA3
ENSG00000102547	ENST00000409308	Q9H9S4	CAB39L
ENSG00000023516	ENST00000025301	Q9UKA4	AKAP11
ENSG00000120685	ENST00000352251	Q86XN7	PROSER1
ENSG00000120690	ENST00000239882	P32519	ELF1
ENSG00000120686	ENST00000239878	P61960	UFM1
ENSG00000102554	ENST00000377687	Q13887	KLF5
ENSG00000065150	ENST00000651721	O00410	IPO5
ENSG00000120688	ENST00000379487	O75554	WBP4
ENSG00000101489	ENST00000420428	Q9BZC1	CELF4
ENSG00000017797	ENST00000383432	Q15311	RALBP1
ENSG00000102543	ENST00000251108	Q9BWV3	CDADC1
ENSG00000083520	ENST00000377767	Q9Y2L1	DIS3
ENSG00000101745	ENST00000262126	Q6UB98	ANKRD12
ENSG00000099917	ENST00000263205	Q96RN5	MED15
ENSG00000101773	ENST00000327155	Q99708	RBBP8
ENSG00000100365	ENST00000248899	Q15080	NCF4
ENSG00000088448	ENST00000267339	Q9NXR5	ANKRD10
ENSG00000126216	ENST00000261965	Q96CW5	TUBGCP3
ENSG00000041353	ENST00000262094	O00194	RAB27B
ENSG00000091164	ENST00000217515	O43396	TXNL1
ENSG00000100307	ENST00000216133	O95931	CBX7
ENSG00000100344	ENST00000216180	Q9NST1	PNPLA3
ENSG00000122042	ENST00000380680	O95164	UBL3
ENSG00000054611	ENST00000337137	Q8WUA7	TBC1D22A
ENSG00000125820	ENST00000377142	O95096	NKX2-2
ENSG00000125898	ENST00000381941	Q9BQ89	FAM110A
ENSG00000100426	ENST00000216268	O75132	ZBED4
ENSG00000100316	ENST00000216146	P39023	RPL3
ENSG00000125816	ENST00000351817	Q9H2Z4	NKX2-4
ENSG00000088876	ENST00000278772	Q6P1L6	ZNF343
ENSG00000075218	ENST00000454366	Q9NYZ3	GTSE1
ENSG00000088930	ENST00000377191	Q9H0D6	XRN2
ENSG00000100347	ENST00000350028	Q9Y512	SAMM50
ENSG00000125870	ENST00000246071	P08579	SNRPB2
ENSG00000075234	ENST00000381031	Q5R3I4	TTC38
ENSG00000125864	ENST00000377873	Q12934	BFSP1
ENSG00000100106	ENST00000644935	Q9H2D6	TRIOBP
ENSG00000081913	ENST00000262719	O60346	PHLPP1
ENSG00000125868	ENST00000246069	P60981	DSTN
ENSG00000125834	ENST00000381482	Q8TDR2	STK35
ENSG00000100422	ENST00000216264	Q8TCT0	CERK
ENSG00000100239	ENST00000612753	O75170	PPP6R2
ENSG00000100362	ENST00000417718	P20472	PVALB
ENSG00000100124	ENST00000215941	Q6NXT1	ANKRD54
ENSG00000089123	ENST00000337743	Q9H6P5	TASP1
ENSG00000101493	ENST00000443185	Q92618	ZNF516
ENSG00000102780	ENST00000337343	Q86XP1	DGKH
ENSG00000101445	ENST00000299824	Q96T49	PPP1R16B
ENSG00000101452	ENST00000252011	Q9H5Z1	DHX35
ENSG00000100220	ENST00000216038	Q9Y3I0	RTCB
ENSG00000124191	ENST00000341197	Q96NM4	TOX2
ENSG00000100104	ENST00000215917	Q9UH36	SRRD
ENSG00000100109	ENST00000407690	Q9UBB9	TFIP11
ENSG00000064655	ENST00000327619	O00167	EYA2
