Transcript stable ID	Gene name	UniProtKB/Swiss-Prot ID
ENST00000325324	IPO11	Q9UI26
ENST00000360464	FABP12	A6NFH5
ENST00000216160	TAB1	Q15750
ENST00000398712	SHARPIN	Q9H0F6
ENST00000263384	FAM32A	Q9Y421
ENST00000691607	SPDYE2	Q495Y8
ENST00000650639	ZCCHC18	P0CG32
ENST00000248846	TUBGCP6	Q96RT7
ENST00000343730	MED22	Q15528
ENST00000393483	TSGA10	Q9BZW7
ENST00000306735	RBFA	Q8N0V3
ENST00000368452	PKIB	Q9C010
ENST00000360311	ZNF860	A6NHJ4
ENST00000360541	ETF1	P62495
ENST00000306999	ANKMY2	Q8IV38
ENST00000224949	PITRM1	Q5JRX3
ENST00000227507	CCND1	P24385
ENST00000372936	TRMT2B	Q96GJ1
ENST00000369774	SH3PXD2A	Q5TCZ1
ENST00000244020	SRSF6	Q13247
ENST00000427159	FTSJ3	Q8IY81
ENST00000400324	DIAPH3	Q9NSV4
ENST00000517566	OXR1	Q8N573
ENST00000355499	YY1AP1	Q9H869
ENST00000401548	MEI1	Q5TIA1
ENST00000263150	WDR37	Q9Y2I8
ENST00000253048	ZC3H4	Q9UPT8
ENST00000397560	KDM7A	Q6ZMT4
ENST00000343998	DIPK1C	Q0P6D2
ENST00000625065	SPDYE5	A6NIY4
ENST00000613122	CTDP1	Q9Y5B0
ENST00000171111	KEAP1	Q14145
ENST00000361799	RNF220	Q5VTB9
ENST00000391624	KRTAP6-3	Q3LI67
ENST00000409474	MPP4	Q96JB8
ENST00000322652	SUZ12	Q15022
ENST00000682384	ZNF496	Q96IT1
ENST00000613102	GGNBP2	Q9H3C7
ENST00000373024	INPP5B	P32019
ENST00000378247	SPIRE2	Q8WWL2
ENST00000429260	PIERCE1	Q5BN46
ENST00000505624	TTC23L	Q6PF05
ENST00000343677	H1-2	P16403
ENST00000262815	MAU2	Q9Y6X3
ENST00000371486	CPT2	P23786
ENST00000483725	KIAA0408	Q6ZU52
ENST00000302057	IRX2	Q9BZI1
ENST00000348956	CKB	P12277
ENST00000200135	ZW10	O43264
ENST00000271277	CTTNBP2NL	Q9P2B4
ENST00000250263	ERI1	Q8IV48
ENST00000504404	DLEU7	Q6UYE1
ENST00000643721	TRIM8	Q9BZR9
ENST00000530349	FAM89B	Q8N5H3
ENST00000303305	PA2G4	Q9UQ80
ENST00000367627	TOR3A	Q9H497
ENST00000268607	MAP1LC3B	Q9GZQ8
ENST00000308736	DHX37	Q8IY37
ENST00000274054	NAF1	Q96HR8
ENST00000221418	ECH1	Q13011
ENST00000330597	HBG1	P69891
ENST00000366862	FBXO28	Q9NVF7
ENST00000393927	ZNF414	Q96IQ9
ENST00000380412	ZNF768	Q9H5H4
ENST00000291536	RSPH1	Q8WYR4
ENST00000358932	CCNB1IP1	Q9NPC3
ENST00000374259	FOXO4	P98177
ENST00000321870	BHLHE22	Q8NFJ8
ENST00000286918	ANKRD9	Q96BM1
ENST00000556816	ISCA2	Q86U28
ENST00000327835	ZNF704	Q6ZNC4
ENST00000204566	SPG21	Q9NZD8
ENST00000644661	H2BK1	A0A2R8Y619
ENST00000361427	HMGN2	P05204
ENST00000304788	NANP	Q8TBE9
ENST00000332896	CRADD	P78560
ENST00000238508	SERPINB10	P48595
ENST00000254718	MYBBP1A	Q9BQG0
ENST00000301686	METTL26	Q96S19
ENST00000445590	FAM177B	A6PVY3
ENST00000371528	ZYG11A	Q6WRX3
ENST00000442047	LRRC74B	Q6ZQY2
ENST00000393085	MTPN	P58546
ENST00000394095	SENP7	Q9BQF6
ENST00000320785	KIF1C	O43896
ENST00000347757	SSX5	O60225
ENST00000012443	PPP5C	P53041
ENST00000298738	ERICH6B	Q5W0A0
ENST00000374266	ZNF593	O00488
ENST00000378392	ANKEF1	Q9NU02
ENST00000532620	TSGA10IP	Q3SY00
ENST00000338306	CCDC157	Q569K6
ENST00000231749	ZMYND10	O75800
ENST00000687041	FAM169A	Q9Y6X4
ENST00000398665	DOT1L	Q8TEK3
ENST00000388835	KRT18	P05783
ENST00000323534	RAP2B	P61225
ENST00000311128	DENND6A	Q8IWF6
ENST00000408888	RBM34	P42696
ENST00000650277	LCE7A	P0DV60
ENST00000282538	GADL1	Q6ZQY3
