Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID	Gene name
ENSG00000154721	ENST00000480456	P57087	JAM2
ENSG00000154654	ENST00000400546	O15394	NCAM2
ENSG00000120675	ENST00000379221	Q9Y5T4	DNAJC15
ENSG00000132975	ENST00000405846	P47775	GPR12
ENSG00000102531	ENST00000492622	Q9Y2H6	FNDC3A
ENSG00000154645	ENST00000299295	Q9H9P2	CHODL
ENSG00000150893	ENST00000280481	Q5SZK8	FREM2
ENSG00000136158	ENST00000377104	O43597	SPRY2
ENSG00000134882	ENST00000403766	Q8NBM4	UBAC2
ENSG00000154889	ENST00000588072	Q53F39	MPPE1
ENSG00000118946	ENST00000377918	O14917	PCDH17
ENSG00000139514	ENST00000380752	P30825	SLC7A1
ENSG00000088386	ENST00000376503	P46059	SLC15A1
ENSG00000136141	ENST00000389797	Q9Y2L9	LRCH1
ENSG00000132874	ENST00000255226	Q15849	SLC14A2
ENSG00000132950	ENST00000337963	Q9UJ78	ZMYM5
ENSG00000134489	ENST00000256906	Q9H3N8	HRH4
ENSG00000133115	ENST00000379631	Q8TAV4	STOML3
ENSG00000100346	ENST00000402142	Q9P0X4	CACNA1I
ENSG00000102539	ENST00000218721	O43193	MLNR
ENSG00000089012	ENST00000303415	Q9P1W8	SIRPG
ENSG00000122025	ENST00000241453	P36888	FLT3
ENSG00000141437	ENST00000269205	Q3SY17	SLC25A52
ENSG00000081138	ENST00000397968	Q9ULB5	CDH7
ENSG00000101463	ENST00000376862	Q9H7V2	SYNDIG1
ENSG00000101542	ENST00000262717	Q9HBT6	CDH20
ENSG00000101474	ENST00000217456	Q9HDC9	APMAP
ENSG00000133107	ENST00000379705	Q9UBN4	TRPC4
ENSG00000071991	ENST00000262150	Q9H159	CDH19
ENSG00000141424	ENST00000269187	Q13433	SLC39A6
ENSG00000102452	ENST00000251127	Q8IZF0	NALCN
ENSG00000101384	ENST00000254958	P78504	JAG1
ENSG00000100321	ENST00000328933	O43759	SYNGR1
ENSG00000089057	ENST00000338244	Q9UGH3	SLC23A2
ENSG00000130943	ENST00000253255	Q9NTG1	PKDREJ
ENSG00000102683	ENST00000218867	Q13326	SGCG
ENSG00000100300	ENST00000337554	P30536	TSPO
ENSG00000154080	ENST00000618847	Q7L1S5	CHST9
ENSG00000138944	ENST00000381176	Q3SXP7	SHISAL1
ENSG00000134490	ENST00000383233	Q24JQ0	TMEM241
ENSG00000128203	ENST00000215906	Q6ICH7	ASPHD2
ENSG00000139826	ENST00000375898	Q7L211	ABHD13
ENSG00000102468	ENST00000542664	P28223	HTR2A
ENSG00000150637	ENST00000582621	Q15762	CD226
ENSG00000128271	ENST00000337539	P29274	ADORA2A
ENSG00000124249	ENST00000372861	Q9H427	KCNK15
ENSG00000125247	ENST00000342624	Q5T4D3	TMTC4
ENSG00000149654	ENST00000537909	Q9UJ99	CDH22
ENSG00000080189	ENST00000372230	Q9NQQ7	SLC35C2
ENSG00000100031	ENST00000400382	P19440	GGT1
ENSG00000133106	ENST00000313624	Q96J88	EPSTI1
ENSG00000127863	ENST00000248484	Q9NS68	TNFRSF19
ENSG00000146938	ENST00000381095	Q8N0W4	NLGN4X
ENSG00000126010	ENST00000380289	P30550	GRPR
ENSG00000124089	ENST00000243911	P41968	MC3R
ENSG00000147027	ENST00000275954	Q9BQJ4	TMEM47
ENSG00000142178	ENST00000270162	P57059	SIK1
ENSG00000139679	ENST00000620633	P43657	LPAR6
ENSG00000124212	ENST00000244043	Q16647	PTGIS
