Transcript stable ID	Gene name	UniProtKB/Swiss-Prot ID
ENST00000651267	AMELY	Q99218
ENST00000479548	C21orf62	Q9NYP8
ENST00000379747	POSTN	Q15063
ENST00000326291	PIBF1	Q8WXW3
ENST00000284987	ADAMTS5	Q9UNA0
ENST00000379600	NHLRC3	Q5JS37
ENST00000219022	OLFM4	Q6UX06
ENST00000215781	OSM	P13725
ENST00000283550	SPACA7	Q96KW9
ENST00000249075	LIF	P15018
ENST00000217260	RSPO4	Q2I0M5
ENST00000651438	COL18A1	P39060
ENST00000246105	DEFB129	Q9H1M3
ENST00000381922	ANGPT4	Q9Y264
ENST00000382410	DEFB125	Q8N687
ENST00000378827	BMP2	P12643
ENST00000217305	PDYN	P01213
ENST00000284984	ADAMTS1	Q9UHI8
ENST00000334391	DEFB128	Q7Z7B8
ENST00000382398	DEFB126	Q9BYW3
ENST00000262545	PCSK2	P16519
ENST00000246012	CST8	O60676
ENST00000262487	ISM1	B1AKI9
ENST00000304710	CST5	P28325
ENST00000480798	CST7	O76096
ENST00000304725	CST2	P09228
ENST00000181383	CPB2	Q96IY4
ENST00000382388	DEFB127	Q9H1M4
ENST00000400552	DEFB115	Q30KQ5
ENST00000269503	CBLN2	Q8IUK8
ENST00000331163	PDGFB	P01127
ENST00000327773	GAS6	Q14393
ENST00000376979	CST9L	Q9H4G1
ENST00000326000	WFDC9	Q8NEX5
ENST00000372643	WFDC10A	Q9H1F0
ENST00000291526	TFF2	Q03403
ENST00000291527	TFF1	P04155
ENST00000337843	C1QTNF6	Q9BXI9
ENST00000324384	WFDC11	Q8NEX6
ENST00000628705	FCGBP	Q9Y6R7
ENST00000380714	AMELX	Q99217
ENST00000334651	DHRSX	Q8N5I4
ENST00000262648	ANOS1	P23352
ENST00000402357	TAFA5	Q7Z5A7
ENST00000378533	SRPX	P78539
ENST00000064571	CBLN4	Q9NTU7
ENST00000256404	PEBP4	Q96S96
ENST00000380433	UCN3	Q969E3
ENST00000358821	CNDP1	Q96KN2
ENST00000380216	IFNA16	P05015
ENST00000323084	TSPEAR	Q8WU66
ENST00000262120	TWSG1	Q9GZX9
ENST00000358415	ITIH2	P19823
ENST00000378825	CCDC3	Q9BQI4
ENST00000290271	STC1	P52823
ENST00000237014	TTR	P02766
ENST00000376925	CST3	P01034
ENST00000239347	IFNA7	P01567
ENST00000621500	GPHB5	Q86YW7
ENST00000261292	LIPG	Q9Y5X9
ENST00000681248	SERPINE3	A8MV23
ENST00000216139	ACR	P10323
ENST00000360986	CPZ	Q66K79
ENST00000389131	LOXL2	Q9Y4K0
ENST00000682841	IL17D	Q8TAD2
ENST00000581492	GDF2	Q9UK05
ENST00000395863	BMP7	P18075
ENST00000307746	CYTL1	Q9NRR1
ENST00000361866	COL6A1	P12109
ENST00000518498	TFF3	Q07654
ENST00000218436	ITIH6	Q6UXX5
ENST00000261978	LTBP2	Q14767
ENST00000313766	FAM20C	Q8IXL6
ENST00000376180	ITGBL1	O95965
ENST00000642620	NDP	Q00604
ENST00000584701	RBP3	P10745
ENST00000245451	BMP4	P12644
ENST00000447535	ERVH48-1	M5A8F1
ENST00000681601	LIPI	Q6XZB0
ENST00000252999	LAMA5	O15230
ENST00000580279	GDF10	P55107
ENST00000405863	NXPH1	P58417
ENST00000217407	LBP	P18428
ENST00000382353	FGF9	P31371
ENST00000337938	EDN3	P14138
ENST00000242152	NPY	P01303
ENST00000439435	FGF16	O43320
ENST00000222674	NPVF	Q9HCQ7
ENST00000261381	XYLT1	Q86Y38
ENST00000373970	DKK1	O94907
ENST00000283147	BMP6	P22004
ENST00000262207	CRISPLD1	Q9H336
ENST00000379287	GFOD1	Q9NXC2
ENST00000374369	GDF5	P43026
ENST00000412168	GPX5	O75715
ENST00000359478	MFAP5	Q13361
ENST00000376971	CST9	Q5W186
ENST00000246081	OTOR	Q9NRC9
ENST00000332018	C1QTNF9	P0C862
ENST00000329913	GDF3	Q9NR23
ENST00000304915	SMR3B	P02814
ENST00000285018	WNT7A	O00755
ENST00000217043	R3HDML	Q9H3Y0
ENST00000529681	MUC5B	Q9HC84
ENST00000710321	IFNL4	K9M1U5
ENST00000342683	C15orf61	A6NNL5
ENST00000257497	ANXA1	P04083
ENST00000357947	TLL2	Q9Y6L7
ENST00000226460	SMR3A	Q99954
ENST00000324229	CALCB	P10092
ENST00000388820	ADAMTS7	Q9UKP4
ENST00000255784	CCDC134	Q9H6E4
ENST00000621226	MUC5AC	P98088
ENST00000254528	EMILIN2	Q9BXX0
ENST00000046087	ZPBP	Q9BS86
ENST00000389362	PRB2	P02812
ENST00000339139	CRISP2	P16562
ENST00000217386	OXT	P01178
ENST00000380293	AVP	P01185
ENST00000357374	IFNA10	P01566
ENST00000299698	A2ML1	A8K2U0
ENST00000299022	LIPC	P11150
ENST00000340652	VWC2	Q2TAL6
ENST00000356083	COL27A1	Q8IZC6
ENST00000436072	SFRP4	Q6FHJ7
ENST00000285311	DKK2	Q9UBU2
ENST00000336930	LUZP2	Q86TE4
ENST00000346342	F7	P08709
ENST00000261921	LOXL1	Q08397
ENST00000226317	CXCL6	P80162
ENST00000375559	F10	P00742
ENST00000576479	SPON1	Q9HCB6
ENST00000375547	PROZ	P22891
ENST00000360256	F8	P00451
ENST00000381623	SIRPD	Q9H106
ENST00000219070	MMP2	P08253
ENST00000334018	EMID1	Q96A84
ENST00000219244	CCL17	Q92583
ENST00000379692	NDNF	Q8TB73
ENST00000372431	PLTP	P55058
ENST00000262947	MYDGF	Q969H8
ENST00000372330	MMP9	P14780
ENST00000219235	CCL22	O00626
ENST00000617537	AOAH	P28039
ENST00000620364	COL19A1	Q14993
ENST00000369700	PRSS35	Q8N3Z0
ENST00000303037	CTRB2	Q6GPI1
ENST00000422538	ENDOU	P21128
ENST00000369230	PNLIPRP3	Q17RR3
ENST00000313654	LAMA3	Q16787
ENST00000395144	HYAL1	Q12794
ENST00000218388	TIMP1	P01033
ENST00000265362	SEMA3A	Q14563
ENST00000359100	GNRH2	O43555
ENST00000361017	CTRB1	P17538
ENST00000328252	PAPPA	Q13219
ENST00000373580	OLFML2A	Q68BL7
ENST00000215754	MIF	P14174
ENST00000299088	C14orf93	Q9H972
ENST00000257867	LACRT	Q9GZZ8
ENST00000423158	NTF3	P20783
ENST00000278282	SCGB1A1	P11684
ENST00000219454	WFDC1	Q9HC57
ENST00000300527	COL6A2	P12110
ENST00000394685	CEMIP	Q8WUJ3
ENST00000373284	TOR2A	Q5JU69
ENST00000297350	TNFRSF11B	O00300
ENST00000407540	MATN3	O15232
ENST00000259526	CCN3	P48745
ENST00000293371	DCD	P81605
ENST00000357134	NELL1	Q92832
ENST00000252575	NCAN	O14594
ENST00000265634	NPTX2	P47972
ENST00000319273	TAC1	P20366
ENST00000293636	CELA1	Q9UNI1
ENST00000254898	MATN2	O00339
ENST00000259782	TINAG	Q9UJW2
ENST00000304887	MUC7	Q8TAX7
ENST00000277480	LCN2	P80188
ENST00000296498	PRSS12	P56730
ENST00000404816	LTBP1	Q14766
ENST00000272224	GDF7	Q7Z4P5
ENST00000238561	ADCK1	Q86TW2
ENST00000351270	HABP2	Q14520
ENST00000334134	FGF3	P11487
ENST00000368984	HTRA1	Q92743
ENST00000328300	COL4A5	P29400
ENST00000355426	EFEMP1	Q12805
ENST00000286744	ADAMTSL3	P82987
ENST00000338380	SLPI	P03973
ENST00000372676	WFDC2	Q14508
ENST00000217428	SPINT3	P49223
ENST00000354280	EPPIN	O95925
ENST00000555567	PGF	P49763
ENST00000243938	WFDC3	Q8IUB2
ENST00000375108	PLA2G5	P39877
ENST00000375561	OGN	P20774
ENST00000282849	ADAMTS18	Q8TE60
ENST00000399575	OPRPN	Q99935
ENST00000370830	BMP5	P22003
ENST00000308423	AOC3	Q16853
ENST00000651968	COL10A1	Q03692
ENST00000557004	SERPINA4	P29622
ENST00000297770	CPA6	Q8N4T0
ENST00000301464	IGFBP6	P24592
ENST00000215727	SERPIND1	P05546
ENST00000222543	TFPI2	P48307
ENST00000329597	SERPINA5	P05154
ENST00000393078	SERPINA3	P01011
ENST00000291481	HAPLN4	Q86UW8
ENST00000236826	MMP8	P22894
ENST00000269593	IGFBP4	P22692
ENST00000503581	EYS	Q5T1H1
ENST00000436428	MSMP	Q1L6U9
ENST00000375105	PLA2G2D	Q9UNK4
ENST00000372581	GUCA2B	Q16661
ENST00000265627	PON3	Q15166
ENST00000223095	SERPINE1	P05121
ENST00000649368	COL9A3	Q14050
ENST00000222381	PON1	P27169
ENST00000297904	VEGFD	O43915
ENST00000295569	TAFA4	Q96LR4
ENST00000555619	NPC2	P61916
ENST00000222390	HGF	P14210
ENST00000273371	PLA1A	Q53H76
ENST00000311378	WFIKKN2	Q8TEU8
ENST00000332843	COLEC10	Q9Y6Z7
ENST00000450565	ADCYAP1	P18509
ENST00000368440	SMPDL3A	Q92484
ENST00000382376	DEFB132	Q7Z7B7
ENST00000375820	COL4A1	P02462
ENST00000360467	COL4A2	P08572
ENST00000265643	GAL	P22466
ENST00000343737	WNT8B	Q93098
ENST00000261267	LYZ	P61626
ENST00000555835	RNASE4	P34096
ENST00000326842	EDDM3A	Q14507
ENST00000326783	EDDM3B	P56851
ENST00000304677	RNASE6	Q93091
ENST00000397967	RNASE1	P07998
ENST00000223127	PLOD3	O60568
ENST00000304625	RNASE2	P10153
ENST00000382951	RNASE13	Q5GAN3
ENST00000298690	RNASE7	Q9H1E1
ENST00000308227	RNASE8	Q8TDE3
ENST00000241305	CPXM2	Q8N436
ENST00000393158	PDGFD	Q9GZP0
ENST00000220616	TG	P01266
ENST00000272324	REG3G	Q6UW15
ENST00000397990	ANG	P03950
ENST00000297354	SBSPON	Q8IVN8
ENST00000233735	REG1A	P05451
ENST00000398000	DIPK2B	Q9H7Y0
ENST00000317543	SLURP2	P0DP57
ENST00000339686	DMKN	Q6E0U4
ENST00000276659	RSPO2	Q6UXX9
ENST00000252677	BMP15	O95972
ENST00000246515	SLURP1	P55000
ENST00000238682	TGFB3	P10600
ENST00000389658	LAMA1	P25391
ENST00000220763	CPQ	Q9Y646
ENST00000265361	SEMA3C	Q99985
ENST00000360835	SCUBE1	Q8IWY4
ENST00000451037	CA10	Q9NS85
ENST00000371634	C8G	P07360
ENST00000371633	LCN12	Q6JVE5
ENST00000371625	PTGDS	P41222
ENST00000295619	PROK2	Q9HC23
ENST00000372764	PLAU	P00749
ENST00000222572	PON2	Q15165
ENST00000294964	PKDCC	Q504Y2
ENST00000305089	REG1B	P48304
ENST00000300399	BPIFC	Q8NFQ6
ENST00000336138	THEM6	Q8WUY1
ENST00000367244	VIP	P01282
ENST00000395737	ADM2	Q7Z4H4
ENST00000341423	HMGB1	P09429
ENST00000369950	IMPG1	Q17R60
ENST00000398023	NPS	P0C0P6
ENST00000356698	RSPO3	Q9BXY4
ENST00000268281	PRSS36	Q5K4E3
ENST00000451791	PENK	P01210
ENST00000396992	CFP	P27918
ENST00000002165	FUCA2	Q9BTY2
ENST00000306100	FSTL5	Q8N475
ENST00000220772	SFRP1	Q8N474
ENST00000276571	CRH	P06850
ENST00000320650	IL15	P40933
ENST00000344839	BSPH1	Q075Z2
ENST00000371129	ANGPTL3	Q9Y5C1
ENST00000623824	QRFP	P83859
ENST00000356897	IL27	Q8NEV9
ENST00000061240	TLL1	O43897
ENST00000338897	KRTDAP	P60985
ENST00000342951	PSG5	Q15238
ENST00000266058	SLIT1	O75093
ENST00000250160	CCN4	O95388
ENST00000405312	PSG4	Q00888
ENST00000325321	KLK2	P20151
ENST00000304749	CST1	P01037
ENST00000217423	CST4	P01036
ENST00000264381	BCHE	P06276
ENST00000356517	AADACL2	Q6P093
ENST00000618562	VEGFC	P49767
ENST00000371418	LGI1	O95970
ENST00000465530	CDNF	Q49AH0
ENST00000305479	WFDC13	Q8IUB5
ENST00000279058	SPINT4	Q6UDR6
ENST00000427924	FGL1	Q08830
ENST00000406070	PSG7	Q13046
ENST00000357424	GIP	P09681
ENST00000674931	MBL2	P11226
ENST00000369996	TNFRSF6B	O95407
ENST00000357001	GUCA2A	Q02747
ENST00000308874	EGFL7	Q9UHF1
ENST00000238983	LIPF	P07098
ENST00000404743	LIPM	Q5VYY2
ENST00000404459	LIPN	Q5VXI9
ENST00000497771	LCN10	Q6JVE6
ENST00000341206	LCN6	P62502
ENST00000316144	LCN15	Q6UWW0
ENST00000242465	SRGN	P10124
ENST00000357545	SPOCK3	Q9BQ16
ENST00000263341	IL1B	P01584
ENST00000388781	LAMB4	A4D0S4
ENST00000380605	CPXM1	Q96SM3
ENST00000376865	NMS	Q5H8A3
ENST00000359943	FAM3C	Q92520
ENST00000334289	ANGPTL5	Q86XS5
ENST00000221498	DKKL1	Q9UK85
ENST00000272641	NXPH2	O95156
ENST00000350549	PRSS37	A4D1T9
ENST00000331256	ACP7	Q6ZNF0
ENST00000333625	IFNL1	Q8IU54
ENST00000371793	OLFM1	Q99784
ENST00000380739	SERPINB1	P30740
ENST00000399837	ADA2	Q9NZK5
ENST00000330377	IGLL1	P15814
ENST00000260113	PI15	O43692
ENST00000393487	MGAT4A	Q9UM21
ENST00000328965	OAF	Q86UD1
ENST00000230036	GPLD1	P80108
ENST00000370571	COL24A1	Q17RW2
ENST00000361314	GPX7	Q96SL4
ENST00000215743	MMP11	P24347
ENST00000347397	CSTL1	Q9H114
ENST00000377009	CST11	Q9H112
ENST00000373614	GHRH	P01286
ENST00000620105	C18orf54	Q8IYD9
ENST00000313669	COL26A1	Q96A83
ENST00000619771	KIR2DS4	P43632
ENST00000216241	CHADL	Q6NUI6
ENST00000380450	SHBG	P04278
ENST00000507152	APELA	P0DMC3
ENST00000339336	AMTN	Q6UX39
ENST00000396073	ENAM	Q9NRM1
ENST00000256857	GRP	P07492
ENST00000349394	NXPH4	O95158
ENST00000226218	VTN	P04004
ENST00000361069	LAMC3	Q9Y6N6
ENST00000646100	OTOA	Q7RTW8
ENST00000439986	CCBE1	Q6UXH8
ENST00000008938	PGLYRP1	O75594
ENST00000341415	IGFL3	Q6UXB1
ENST00000226730	IL2	P60568
ENST00000372292	SFTPD	P35247
ENST00000215838	TCN2	P20062
ENST00000279168	GPHA2	Q96T91
ENST00000311623	ODAPH	Q17RF5
ENST00000296503	HMGB2	P26583
ENST00000296506	SCRG1	O75711
ENST00000391826	IL4I1	Q96RQ9
ENST00000453066	SERPINF2	P08697
ENST00000254722	SERPINF1	P36955
ENST00000320334	OLFML3	Q9NRN5
ENST00000215909	LGALS1	P09382
ENST00000382333	FGFBP1	Q14512
ENST00000259989	FGFBP2	Q9BYJ0
ENST00000408945	HMSD	A8MTL9
ENST00000429967	APLN	Q9ULZ1
